country,total,has_website,no_website,has_phone,no_phone,has_email,no_email,all_three,no_web_no_phone,no_web_has_phone,has_web_no_phone,has_web_has_phone,no_web_has_email,has_web_no_email,has_web_has_email,ws_ok,ws_no_email,ws_timeout,ws_dns,ws_ssl,ws_connection_error,ws_other,emails_found_total,emails_unique,cat_no_website,cat_website_only,cat_website_phone,cat_website_email,cat_phone_only,cat_email_only,cat_phone_email_no_web
Malta,11928,10770,1158,11011,917,6080,5848,5622,0,1158,917,9853,0,4690,6080,6080,1431,95,13,0,110,3041,17419,492,1158,459,4231,458,1158,0,0
Uganda,11269,6504,4765,11225,44,2510,8759,2482,0,4765,44,6460,0,3994,2510,2510,1774,1083,821,0,35,281,5318,207,4765,16,3978,28,4765,0,0
United Kingdom,4050,3759,291,3815,235,2525,1525,2372,0,291,235,3524,0,1234,2525,2525,376,190,144,0,14,510,7408,1206,291,82,1152,153,291,0,0
Seychelles,3283,2273,1010,3228,55,1537,1746,1491,0,1010,55,2218,0,736,1537,1537,334,26,122,0,1,253,3973,150,1010,9,727,46,1010,0,0
Czech Republic,2058,2002,56,1993,65,1668,390,1618,0,56,65,1937,0,334,1668,1668,279,11,3,0,0,41,3647,414,56,15,319,50,56,0,0
France,1936,1855,81,1750,186,1279,657,1170,0,81,186,1669,0,576,1279,1279,374,19,27,0,0,156,3840,534,81,77,499,109,81,0,0
Vietnam,1878,1662,216,1843,35,1222,656,1211,0,216,35,1627,0,440,1222,1222,131,30,54,0,39,186,1926,285,216,24,416,11,216,0,0
Maldives,1559,1138,421,1513,46,757,802,738,0,421,46,1092,0,381,757,757,240,6,10,0,42,83,1078,138,421,27,354,19,421,0,0
Ghana,1480,794,686,1474,6,374,1106,368,0,686,6,788,0,420,374,374,245,68,69,0,0,38,693,110,686,0,420,6,686,0,0
Kenya,1465,1075,390,1407,58,654,811,600,0,390,58,1017,0,421,654,654,181,75,58,0,61,46,1005,98,390,4,417,54,390,0,0
Philippines,1345,1007,338,1305,40,573,772,563,0,338,40,967,0,434,573,573,139,16,4,0,1,274,1585,151,338,30,404,10,338,0,0
Sri Lanka,1333,901,432,1292,41,538,795,533,0,432,41,860,0,363,538,538,197,35,23,0,1,107,891,147,432,36,327,5,432,0,0
Ethiopia,1310,746,564,1242,68,418,892,376,0,564,68,678,0,328,418,418,215,25,21,0,2,65,592,106,564,26,302,42,564,0,0
Thailand,1201,1105,96,1145,56,699,502,694,0,96,56,1049,0,406,699,699,0,124,282,0,0,0,2376,180,96,51,355,5,96,0,0
Luxembourg,1176,1087,89,1090,86,736,440,674,0,89,86,1001,0,351,736,736,116,64,49,0,1,121,1730,216,89,24,327,62,89,0,0
Qatar,1147,907,240,1121,26,591,556,566,0,240,26,881,0,316,591,591,108,30,11,0,0,167,1006,199,240,1,315,25,240,0,0
Suriname,1068,458,610,1016,52,218,850,203,0,610,52,406,0,240,218,218,45,26,12,0,0,157,333,90,610,37,203,15,610,0,0
Fiji,1062,484,578,1033,29,218,844,206,0,578,29,455,0,266,218,218,101,0,51,0,0,114,297,41,578,17,249,12,578,0,0
Singapore,995,929,66,924,71,679,316,624,0,66,71,858,0,250,679,679,113,9,4,0,1,123,2763,499,66,16,234,55,66,0,0
Oman,972,823,149,945,27,424,548,397,0,149,27,796,0,399,424,424,234,44,18,0,6,97,852,100,149,0,399,27,149,0,0
Indonesia,970,795,175,928,42,470,500,452,0,175,42,753,0,325,470,470,263,3,13,0,1,45,1314,197,175,24,301,18,175,0,0
Bangladesh,924,611,313,916,8,379,545,372,0,313,8,603,0,232,379,379,55,19,59,0,36,63,582,118,313,1,231,7,313,0,0
Taiwan,839,802,37,737,102,355,484,315,0,37,102,700,0,447,355,355,0,177,270,0,0,0,1173,193,37,62,385,40,37,0,0
Trinidad and Tobago,783,548,235,753,30,239,544,237,0,235,30,518,0,309,239,239,0,76,233,0,0,0,519,57,235,28,281,2,235,0,0
Bahrain,777,513,264,746,31,270,507,251,0,264,31,482,0,243,270,270,131,20,17,0,0,75,614,104,264,12,231,19,264,0,0
Nepal,766,550,216,744,22,259,507,255,0,216,22,528,0,291,259,259,146,21,49,0,0,75,327,134,216,18,273,4,216,0,0
Mauritius,737,512,225,735,2,330,407,330,0,225,2,510,0,182,330,330,37,61,6,0,8,70,821,141,225,2,180,0,225,0,0
Kuwait,707,513,194,703,4,295,412,295,0,194,4,509,0,218,295,295,159,5,6,0,11,37,529,81,194,4,214,0,194,0,0
Guyana,697,237,460,685,12,82,615,82,0,460,12,225,0,155,82,82,54,0,2,0,11,88,121,45,460,12,143,0,460,0,0
Malaysia,647,558,89,601,46,334,313,321,0,89,46,512,0,224,334,334,150,14,4,0,0,56,943,191,89,33,191,13,89,0,0
Belgium,628,594,34,585,43,440,188,424,0,34,43,551,0,154,440,440,75,10,6,0,0,63,928,281,34,27,127,16,34,0,0
Norway,625,575,50,584,41,386,239,376,0,50,41,534,0,189,386,386,85,32,7,0,0,65,1121,212,50,31,158,10,50,0,0
Ireland,606,581,25,581,25,356,250,339,0,25,25,556,0,225,356,356,19,1,3,0,3,199,762,141,25,8,217,17,25,0,0
Finland,598,561,37,543,55,374,224,340,0,37,55,506,0,187,374,374,108,11,9,0,0,59,1284,266,37,21,166,34,37,0,0
South Korea,588,468,120,542,46,231,357,206,0,120,46,422,0,237,231,231,136,7,35,0,4,55,907,304,120,21,216,25,120,0,0
Greece,548,510,38,538,10,321,227,315,0,38,10,500,0,189,321,321,118,5,13,0,17,36,760,178,38,4,185,6,38,0,0
Spain,544,527,17,509,35,386,158,362,0,17,35,492,0,141,386,386,47,23,8,0,1,62,846,267,17,11,130,24,17,0,0
Denmark,504,484,20,450,54,359,145,326,0,20,54,430,0,125,359,359,33,18,0,0,0,74,1277,333,20,21,104,33,20,0,0
Sweden,476,461,15,374,102,277,199,221,0,15,102,359,0,184,277,277,0,101,83,0,0,0,530,170,15,46,138,56,15,0,0
Italy,470,453,17,459,11,277,193,271,0,17,11,442,0,176,277,277,96,3,1,0,0,76,456,163,17,5,171,6,17,0,0
Netherlands,422,410,12,354,68,328,94,279,0,12,68,342,0,82,328,328,48,3,5,0,1,25,738,182,12,19,63,49,12,0,0
Portugal,395,386,9,360,35,307,88,276,0,9,35,351,0,79,307,307,37,10,1,0,3,28,987,206,9,4,75,31,9,0,0
Nigeria,386,178,208,380,6,53,333,51,0,208,6,172,0,125,53,53,73,5,32,0,0,15,60,29,208,4,121,2,208,0,0
Saudi Arabia,385,308,77,344,41,197,188,175,0,77,41,267,0,111,197,197,45,6,11,0,18,31,248,64,77,19,92,22,77,0,0
Austria,379,360,19,356,23,261,118,248,0,19,23,337,0,99,261,261,60,8,2,0,1,28,822,299,19,10,89,13,19,0,0
United States,356,341,15,347,9,207,149,202,0,15,9,332,0,134,207,207,50,7,1,0,3,73,534,143,15,4,130,5,15,0,0
Japan,354,340,14,318,36,137,217,113,0,14,36,304,0,203,137,137,171,15,0,0,0,17,298,135,14,12,191,24,14,0,0
Switzerland,328,310,18,298,30,208,120,188,0,18,30,280,0,102,208,208,0,6,96,0,0,0,676,139,18,10,92,20,18,0,0
Germany,307,300,7,280,27,199,108,183,0,7,27,273,0,101,199,199,59,6,1,0,2,33,520,203,7,11,90,16,7,0,0
Poland,289,273,16,258,31,171,118,141,0,16,31,242,0,102,171,171,35,1,0,0,0,66,325,159,16,1,101,30,16,0,0
Cyprus,263,211,52,252,11,110,153,109,0,52,11,200,0,101,110,110,46,6,3,0,0,46,231,80,52,10,91,1,52,0,0
New Zealand,256,248,8,237,19,145,111,131,0,8,19,229,0,103,145,145,67,9,2,0,3,22,508,110,8,5,98,14,8,0,0
Tanzania,234,72,162,234,0,32,202,32,0,162,0,72,0,40,32,32,0,0,40,0,0,0,76,20,162,0,40,0,162,0,0
Hong Kong,232,198,34,224,8,107,125,104,0,34,8,190,0,91,107,107,43,7,0,0,4,37,460,179,34,5,86,3,34,0,0
United Arab Emirates,194,147,47,191,3,81,113,80,0,47,3,144,0,66,81,81,13,33,3,0,4,13,497,123,47,2,64,1,47,0,0
Australia,156,142,14,145,11,94,62,83,0,14,11,131,0,48,94,94,17,0,2,0,0,29,279,111,14,0,48,11,14,0,0
China,120,48,72,114,6,14,106,14,0,72,6,42,0,34,14,14,16,3,0,0,1,14,23,16,72,6,28,0,72,0,0
South Africa,62,45,17,62,0,25,37,25,0,17,0,45,0,20,25,25,10,2,0,0,0,8,88,18,17,0,20,0,17,0,0
Canada,23,21,2,22,1,15,8,14,0,2,1,20,0,6,15,15,0,0,0,0,0,6,82,39,2,0,6,1,2,0,0
TOTAL,71090,55470,15620,67861,3229,32811,38279,31046,0,15620,3229,52241,0,22659,32811,32811,9135,2710,2819,0,446,7549,81998,0,15620,1464,21195,1765,15620,0,0
